Audible_Title,Audible_Subtitle,Audible_Author,Audible_Link,Image_Link,Audible_Category,Goodreads_Link,Goodreads_Rating,Number_of_Ratings
Little,A Novel,Edward Carey,https://www.audible.com/pd/Little-Audiobook/B07HQVWVSZ?qid=1632673236&sr=1-42&ref=a_special-p_c3_lProduct_1_42&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/41fB7utxZ2L._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/38649806-little?from_search=true&from_srp=true&qid=jYw6cRSXNw&rank=1,4.01,8143
Thunder and Rain,A Novel,Charles Martin,https://www.audible.com/pd/Thunder-and-Rain-Audiobook/B007OXLD4S?qid=1632673236&sr=1-43&ref=a_special-p_c3_lProduct_1_43&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/51aP1LdTpTL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/13038008-thunder-and-rain?from_search=true&from_srp=true&qid=Z4gCxniabW&rank=1,4.27,5182
Esther,A Royal Beauty,Angela Hunt,https://www.audible.com/pd/Esther-Audiobook/B00SGNH7FY?qid=1632673236&sr=1-44&ref=a_special-p_c3_lProduct_1_44&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/51fqMkzLzZL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/22504506-esther?from_search=true&from_srp=true&qid=1b8xuXv78u&rank=1,4.18,2500
Memories of Glass,,Melanie Dobson,https://www.audible.com/pd/Memories-of-Glass-Audiobook/B07VGLJPHY?qid=1632673236&sr=1-45&ref=a_special-p_c3_lProduct_1_45&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/51V3SvKk6UL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/44314322-memories-of-glass?from_search=true&from_srp=true&qid=osC5xJxs79&rank=1,4.07,1664
Deep River,A Novel,Karl Marlantes,https://www.audible.com/pd/Deep-River-Audiobook/1538540355?qid=1632673236&sr=1-46&ref=a_special-p_c3_lProduct_1_46&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/61q3Zl5N1BL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/36395451-deep-river?from_search=true&from_srp=true&qid=MqsLjdeRSJ&rank=1,4.19,3181
The Color Purple,,Alice Walker,https://www.audible.com/pd/The-Color-Purple-Audiobook/B086MHFDMB?qid=1632673236&sr=1-47&ref=a_special-p_c3_lProduct_1_47&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/61HnawsVWVL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/52892857-the-color-purple?from_search=true&from_srp=true&qid=lxN0hZqPoV&rank=8,4.23,569500
Outer Dark,,Cormac McCarthy,https://www.audible.com/pd/Outer-Dark-Audiobook/B00BSUUIRQ?qid=1632673236&sr=1-48&ref=a_special-p_c3_lProduct_1_48&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/51fFgvLwl4L._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/40471.Outer_Dark?from_search=true&from_srp=true&qid=5Sn96uXGkV&rank=2,3.88,15820
Bellewether,,Susanna Kearsley,https://www.audible.com/pd/Bellewether-Audiobook/B07JN3XGXV?qid=1632673236&sr=1-49&ref=a_special-p_c3_lProduct_1_49&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/61-qN8rmimL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/25094955-bellewether?from_search=true&from_srp=true&qid=T5M940OLeM&rank=1,3.94,10964
The Friend,A Novel,Sigrid Nunez,https://www.audible.com/pd/The-Friend-Audiobook/B0747WQP51?qid=1632673236&sr=1-50&ref=a_special-p_c3_lProduct_1_50&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/51111uIqV2L._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/40164365-the-friend?from_search=true&from_srp=true&qid=5DrFPcyfQG&rank=1,3.78,30506
The Art of Fielding,A Novel,Chad Harbach,https://www.audible.com/pd/The-Art-of-Fielding-Audiobook/B005LWJYM2?qid=1632673249&sr=1-51&ref=a_special-p_c3_lProduct_2_1&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=MP9F3AXWNV9GDV48KN8V,https://m.media-amazon.com/images/I/51mNkFfNhcL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/10996342-the-art-of-fielding?from_search=true&from_srp=true&qid=ID3pdJObzn&rank=1,3.96,113889
